StoryID	SeriesID	Title	Theme	ThemeLevel	ThemeID	Comment	RelatedCharacters	CharacterClass	RelatedAliens	RelatedThings
tos0x01	tos	The Cage	people escaping from reality	central	679	Talosians			Talosian	
tos0x01	tos	The Cage	escape from reality	central	526	Talosians				
tos0x01	tos	The Cage	what if I could life in a fantasy world	central	985	Talosians				
tos0x01	tos	The Cage	facing life in captivity	central	282	Pike	Christopher Pike	individual		
tos0x01	tos	The Cage	man vs. captivity	central	171	Pike	Christopher Pike	individual		
tos0x01	tos	The Cage	atrophied civilization	central	339	Talosians			Talosian	
tos0x01	tos	The Cage	everyone escapes to a fantasy world and civilization collapses	central	804	Talosians			Talosian	
tos0x01	tos	The Cage	telepathic alien	central	219	Talosians			Talosian	
tos0x01	tos	The Cage	world with telepathy	central	267	Talosians				
tos0x01	tos	The Cage	desperation	central	102	Talosians	The Keeper	individual		
tos0x01	tos	The Cage	the need for companionship	central	362	Vina really needed a man				
tos0x01	tos	The Cage	the need for a challenge in life	central	361	human were about to blow themselves up rather than living their lives in a gilded cage without self-fulfillment and challenge				
tos0x01	tos	The Cage	what if I were a specimen animal in a zoo	peripheral	991	it seemed they were until the plot twist				
tos0x01	tos	The Cage	male protectiveness	peripheral	858	Pike was manipulated to protect Vina from the Kalar				
tos0x01	tos	The Cage	coping with being tortured	peripheral	373	Pike and Vina by Talosians				
tos0x01	tos	The Cage	master and pet	peripheral	382	Pike and his horse				
tos0x01	tos	The Cage	husband and wife	peripheral	149	Pike and Vine in illusion				
tos0x01	tos	The Cage	sacrifice for a subordinate	peripheral	909	Pike offered to stay in exchange for the safety of female subordinates				
tos0x01	tos	The Cage	woman in charge	peripheral	499	Number One was briefly in charge and it was weird	Number One	individual		
tos0x01	tos	The Cage	passion for space exploration	peripheral	477	Pike could never settle down concluded Doctor	Christopher Pike	individual		
tos0x01	tos	The Cage	resisting a temptation	peripheral	290	Pike at horses and orion slave girls and getting bodily function back and recovering beauty	Christopher Pike	individual		
tos0x01	tos	The Cage	teleportation device	peripheral	360	first time transporter technology used in series				transporter
tos0x01	tos	The Cage	female jealousy	peripheral	644	Number One	Number One	individual		
tos0x01	tos	The Cage	jealousy	peripheral	112	Number One at Colt	Number One	individual		
tos0x01	tos	The Cage	chivalry	peripheral	606	Pike about saving the girl from space Mongol	Christopher Pike	individual		
tos0x01	tos	The Cage	coping with being horribly disfigured	peripheral	516	Vina	Vina	individual		
tos0x01	tos	The Cage	coping with a disability	peripheral	242	Vina	Vina	individual		
tos0x01	tos	The Cage	coping with the rigors of command	peripheral	342	Pike and Boyce's talk	Christopher Pike			
tos0x01	tos	The Cage	second guessing one's self	peripheral	150	Pike over his decision to battle the space Mongols	Christopher Pike	individual		
tos0x01	tos	The Cage	loneliness	peripheral	197	Vina	Vina	individual		
tos0x01	tos	The Cage	the need for rest and recreation	peripheral	439	Pike complains to Boyce about the rigors of command	Christopher Pike	individual		
tos0x01	tos	The Cage	carrot vs. stick	peripheral	603	Talosians at Pike	The Keeper	individual		
tos0x01	tos	The Cage	determination	peripheral	324	Pike	Christopher Pike	individual		
tos0x01	tos	The Cage	coping with rejection	peripheral	269	Vina at Pike	Vina	individual		
